S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Photography,Event Photography Playlist,12hrs 18min,12th,English/Hindi,Module 1: Introduction to Photography,RAW or JPEG? Which is Better?,https://www.youtube.com/watch?v=wqZAsfKh9TI
2,Photography,Event Photography Playlist,,12th,English/Hindi,Module 1: Introduction to Photography,Understand Histogram. And get your Exposure Right.,https://www.youtube.com/watch?v=Rp_cP_46Zdk
3,Photography,Event Photography Playlist,,12th,English/Hindi,Module 1: Introduction to Photography,8 Easy Steps of DSLR Menu Settings | DSLR Camera Settings | DSLR Video Menu Settings | PIXEL VIILAGE,https://www.youtube.com/watch?v=qoXzRIpSpxQ
4,Photography,Event Photography Playlist,,12th,English/Hindi,Module 1: Introduction to Photography,The True Power of Auto ISO - Viilage Wisdom,https://www.youtube.com/watch?v=axw_7tGzmmw
5,Photography,Event Photography Playlist,,12th,English/Hindi,Module 2: Mastering Exposure and Lighting,In-Camera Metering Modes Explained - Village Wisdom,https://www.youtube.com/watch?v=YEw8ufCvgqk
6,Photography,Event Photography Playlist,,12th,English/Hindi,Module 2: Mastering Exposure and Lighting,How To White Balance In a Mixed Lighting Environment?,https://www.youtube.com/watch?v=DRNw0EiO6-A
7,Photography,Event Photography Playlist,,12th,English/Hindi,Module 2: Mastering Exposure and Lighting,Understanding Lenses and Perspectives - Viilage Wisdom,https://www.youtube.com/watch?v=QsrNjycYUdQ
8,Photography,Event Photography Playlist,,12th,English/Hindi,Module 3: Composition and Lenses,How to get Perfect In-Camera White Balance ? - Viilage Wisdom,https://www.youtube.com/watch?v=_VxvCck6dPU
9,Photography,Event Photography Playlist,,12th,English/Hindi,Module 3: Composition and Lenses,How different Focal lengths affect your Portrait - Viilage Wisdom,https://www.youtube.com/watch?v=j-BNwPVva0Y
10,Photography,Event Photography Playlist,,12th,English/Hindi,Module 3: Composition and Lenses,Q&A - Finest Aperture Setting,https://www.youtube.com/watch?v=j8pd_PWXJUE
11,Photography,Event Photography Playlist,,12th,English/Hindi,Module 4: Event Photography Essentials,What It Takes To Be A White House Photographer,https://www.youtube.com/watch?v=2e5gNwN8VBc
12,Photography,Event Photography Playlist,,12th,English/Hindi,Module 4: Event Photography Essentials,Family Lifestyle Photography vs Traditional Photography,https://www.youtube.com/watch?v=pe0rV9Sva98
