S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Interior Design,Advertising Photoshop Tutorials,38hrs 14min,12th,English/Hindi,Module 1: Restaurant Advertising Design Fundamentals,Burger Restaurant Advertising Poster/Flyer Design - Photoshop Tutorial,https://www.youtube.com/watch?v=9CQdBh_AOH4
2,Interior Design,Advertising Photoshop Tutorials,,12th,English/Hindi,Module 1: Restaurant Advertising Design Fundamentals,Restaurant Product Advertising Flyer Design - Photoshop Tutorial,https://www.youtube.com/watch?v=UJcq629sHuU
3,Interior Design,Advertising Photoshop Tutorials,,12th,English/Hindi,Module 1: Restaurant Advertising Design Fundamentals,Coffee Restaurant Flyer Design - Photoshop Tutorial,https://www.youtube.com/watch?v=s1dOsRO_yyY
4,Interior Design,Advertising Photoshop Tutorials,,12th,English/Hindi,Module 1: Restaurant Advertising Design Fundamentals,Restaurant Flyer Design - Photoshop Tutorial,https://www.youtube.com/watch?v=_XmIxC_A9wU
5,Interior Design,Advertising Photoshop Tutorials,,12th,English/Hindi,Module 2: Food and Beverage Flyer Design Techniques,Drink Promotion Advertising Flyer Design - Photoshop Tutorial,https://www.youtube.com/watch?v=kEbQxrrNLDo
6,Interior Design,Advertising Photoshop Tutorials,,12th,English/Hindi,Module 2: Food and Beverage Flyer Design Techniques,How to Design Football Event Flyer - Photoshop Tutorial,https://www.youtube.com/watch?v=3yMouNAw-iM
7,Interior Design,Advertising Photoshop Tutorials,,12th,English/Hindi,Module 2: Food and Beverage Flyer Design Techniques,Summer Cocktail Party Flyer Design - Photoshop Tutorial,https://www.youtube.com/watch?v=-DGyvJTiV8Y
8,Interior Design,Advertising Photoshop Tutorials,,12th,English/Hindi,Module 3: Event Flyer Design Mastery,Easter Party Event Flyer Design - Photoshop Tutorial,https://www.youtube.com/watch?v=jNZWtt-0LKg
9,Interior Design,Advertising Photoshop Tutorials,,12th,English/Hindi,Module 3: Event Flyer Design Mastery,How to Design Kids Birthday Party Invitation/Flyer in Photoshop,https://www.youtube.com/watch?v=T3q0yI_87-w
10,Interior Design,Advertising Photoshop Tutorials,,12th,English/Hindi,Module 3: Event Flyer Design Mastery,How to Design a Coffee Promotion Flyer - Photoshop Tutorial,https://www.youtube.com/watch?v=rjDYU4O0Vec
11,Interior Design,Advertising Photoshop Tutorials,,12th,English/Hindi,Module 4: Advanced Photoshop Techniques for Advertising,Burger Restaurant Flyer Design - Photoshop Tutorial,https://www.youtube.com/watch?v=jWI4UplugSI
12,Interior Design,Advertising Photoshop Tutorials,,12th,English/Hindi,Module 4: Advanced Photoshop Techniques for Advertising,How to Design Pizza Restaurant Flyer / Poster in Photoshop,https://www.youtube.com/watch?v=YmHE55G82gg
13,Interior Design,Advertising Photoshop Tutorials,,12th,English/Hindi,Module 4: Advanced Photoshop Techniques for Advertising,How to Design a Burger Restaurant Flyer / Poster in Photoshop,https://www.youtube.com/watch?v=nV76Ybc1kGs
