S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Library Science,Data Analysis Projects | Pandas Projects | Data Analysis With Python Pandas | Case Studies,78hrs 19min,12th,English/Hindi,Module 1: Data Analysis Fundamentals,1. Data Analysis With Python Pandas | Data Analysis WarmUp Exercises | Pandas Project,https://www.youtube.com/watch?v=JrIG6Qtb4eg
2,Library Science,Data Analysis Projects | Pandas Projects | Data Analysis With Python Pandas | Case Studies,,12th,English/Hindi,Module 1: Data Analysis Fundamentals,2. Project - 1 (Case Study - 1) | Data Analysis With Python | E-Commerce Purchases Dataset,https://www.youtube.com/watch?v=yeN-PtaN4A0
3,Library Science,Data Analysis Projects | Pandas Projects | Data Analysis With Python Pandas | Case Studies,,12th,English/Hindi,Module 1: Data Analysis Fundamentals,3. Project - 2 (Case Study - 2) | Data Analysis With Python Pandas | Kaggle Dataset,https://www.youtube.com/watch?v=qbW8AqEpLtU
4,Library Science,Data Analysis Projects | Pandas Projects | Data Analysis With Python Pandas | Case Studies,,12th,English/Hindi,Module 1: Data Analysis Fundamentals,4. Project - 3 (Case Study - 3) Part 1 | Data Analysis With Python Pandas,https://www.youtube.com/watch?v=QlgcQ-OwQ4M
5,Library Science,Data Analysis Projects | Pandas Projects | Data Analysis With Python Pandas | Case Studies,,12th,English/Hindi,Module 2: E-Commerce Data Analysis,5. Project - 3 (Case Study - 3) Part 2 | Data Analysis With Python Pandas,https://www.youtube.com/watch?v=6bNwzIm1-AY
6,Library Science,Data Analysis Projects | Pandas Projects | Data Analysis With Python Pandas | Case Studies,,12th,English/Hindi,Module 2: E-Commerce Data Analysis,6. Project - 4 (Case Study - 4) Part 1 | Data Analysis With Python Pandas | Kaggle Dataset,https://www.youtube.com/watch?v=NRKqbxAvrnw
7,Library Science,Data Analysis Projects | Pandas Projects | Data Analysis With Python Pandas | Case Studies,,12th,English/Hindi,Module 2: E-Commerce Data Analysis,7. Project - 4 (Case Study - 4) Part 2 | Data Analysis With Python Pandas | Kaggle Dataset,https://www.youtube.com/watch?v=ormctIQQnzw
8,Library Science,Data Analysis Projects | Pandas Projects | Data Analysis With Python Pandas | Case Studies,,12th,English/Hindi,Module 3: Kaggle Dataset Projects,8. Project - 5 (Case Study - 5) | Data Analysis With Python Pandas | Kaggle Dataset | Code With Me,https://www.youtube.com/watch?v=qBOw_kcTLpU
9,Library Science,Data Analysis Projects | Pandas Projects | Data Analysis With Python Pandas | Case Studies,,12th,English/Hindi,Module 3: Kaggle Dataset Projects,9. Project - 6 (Case Study - 6) | Data Analysis With Python Pandas | Kaggle Dataset,https://www.youtube.com/watch?v=D7KyR0QoKmo
10,Library Science,Data Analysis Projects | Pandas Projects | Data Analysis With Python Pandas | Case Studies,,12th,English/Hindi,Module 3: Kaggle Dataset Projects,10. Project - 7 (Case Study - 7) |  Build Data Analysis Web App Using  Python & Streamlit | Part 1,https://www.youtube.com/watch?v=dqCgiEGK4es
11,Library Science,Data Analysis Projects | Pandas Projects | Data Analysis With Python Pandas | Case Studies,,12th,English/Hindi,Module 4: Building Data Analysis Web Apps,11. Project - 7 (Case Study - 7) |Deploy Streamlit Web App on Heroku Cloud (Step By Step) | Part 2,https://www.youtube.com/watch?v=V_G05G4CidQ
12,Library Science,Data Analysis Projects | Pandas Projects | Data Analysis With Python Pandas | Case Studies,,12th,English/Hindi,Module 4: Building Data Analysis Web Apps,12. Project - 8 (Case Study - 8) | Data Analysis With Python Pandas | Kaggle Dataset,https://www.youtube.com/watch?v=nrc-n98pF2w
13,Library Science,Data Analysis Projects | Pandas Projects | Data Analysis With Python Pandas | Case Studies,,12th,English/Hindi,Module 5: More Kaggle Dataset Projects,13. Project - 9 IMDB Movie Dataset Exercise Overview | Pandas Project,https://www.youtube.com/watch?v=s6aiRtPcdsg
14,Library Science,Data Analysis Projects | Pandas Projects | Data Analysis With Python Pandas | Case Studies,,12th,English/Hindi,Module 5: More Kaggle Dataset Projects,14.  Project - 9 | Data Analysis | IMDB Movie Dataset  | Python Pandas Project | Kaggle Dataset,https://www.youtube.com/watch?v=Asm2_qgBK48
15,Library Science,Data Analysis Projects | Pandas Projects | Data Analysis With Python Pandas | Case Studies,,12th,English/Hindi,Module 6: IMDB Movie Analysis,15. Project - 10  Forest Fires in Brazil | Python Pandas Project | Kaggle Dataset,https://www.youtube.com/watch?v=fsQAIk4O1Rc
16,Library Science,Data Analysis Projects | Pandas Projects | Data Analysis With Python Pandas | Case Studies,,12th,English/Hindi,Module 6: IMDB Movie Analysis,16. Heart Disease Analysis | Python Pandas Project,https://www.youtube.com/watch?v=DkdHmc1r4gk
17,Library Science,Data Analysis Projects | Pandas Projects | Data Analysis With Python Pandas | Case Studies,,12th,English/Hindi,Module 7: Forest Fires in Brazil Analysis,1. Data Analytics Using Python Pandas (EDA using Pandas),https://www.youtube.com/watch?v=rzz6zvOvzhY
18,Library Science,Data Analysis Projects | Pandas Projects | Data Analysis With Python Pandas | Case Studies,,12th,English/Hindi,Module 8: Heart Disease Analysis,"17. Exploratory Data Analysis (EDA) : Univariate, Bivariate and Multivariate | Pandas Projects",https://www.youtube.com/watch?v=rOHXb0WNA3c
19,Library Science,Data Analysis Projects | Pandas Projects | Data Analysis With Python Pandas | Case Studies,,12th,English/Hindi,Module 9: Exploratory Data Analysis Techniques,10 Must-Know Pandas Functions For Data Analysis | Data Analytics With Pandas | Pandas Projects,https://www.youtube.com/watch?v=WGuLcrzx_Zk
20,Library Science,Data Analysis Projects | Pandas Projects | Data Analysis With Python Pandas | Case Studies,,12th,English/Hindi,Module 10: Essential Pandas Functions,10 Must-Know Pandas String Functions For Data Analysis | Data Analysis with pandas,https://www.youtube.com/watch?v=SLNQHTxbcOI
21,Library Science,Data Analysis Projects | Pandas Projects | Data Analysis With Python Pandas | Case Studies,,12th,English/Hindi,Module 11: End to End Data Analysis Project,"End to End Data Analysis Project for Portfolio Step by Step  | With Report, PPT and Dashboard",https://www.youtube.com/watch?v=wOrVI4oeMzw
