"Unnamed: 0","Sector","CourseName","Duration","Minimum Education","Language","Module","TopicName","URL"
11730,"Library Science","CATALOGING & CLASSIFICATION","153hrs 12min","12th","English/Hindi","Module 1: Introduction to Classification","Principles of Classification","https://www.youtube.com/watch?v=5aaCr9vpmxc"
11731,"Library Science","CATALOGING & CLASSIFICATION","","12th","English/Hindi","Module 1: Introduction to Classification","The Principles of Division and Classification","https://www.youtube.com/watch?v=EP89p_vFzZc"
11732,"Library Science","CATALOGING & CLASSIFICATION","","12th","English/Hindi","Module 1: Introduction to Classification","Library of Congress (LC) Tutorial","https://www.youtube.com/watch?v=pryz_ohPzg4"
11733,"Library Science","CATALOGING & CLASSIFICATION","","12th","English/Hindi","Module 1: Introduction to Classification","How to Read a Library of Congress Call Number (University of Arkansas Libraries)","https://www.youtube.com/watch?v=4djuA5ZfOWE"
11734,"Library Science","CATALOGING & CLASSIFICATION","","12th","English/Hindi","Module 2: Library of Congress Classification","How to Read Call Numbers","https://www.youtube.com/watch?v=_x31Ua0Z044"
11735,"Library Science","CATALOGING & CLASSIFICATION","","12th","English/Hindi","Module 2: Library of Congress Classification","Library of Congress Classification: How books are organized in Academic Libraries","https://www.youtube.com/watch?v=Vq_nXCKqvvI"
11736,"Library Science","CATALOGING & CLASSIFICATION","","12th","English/Hindi","Module 2: Library of Congress Classification","How I Organize and Catalog My Books","https://www.youtube.com/watch?v=NkhNsA3DZcc"
11737,"Library Science","CATALOGING & CLASSIFICATION","","12th","English/Hindi","Module 2: Library of Congress Classification","RDA for Copy Catalogers: The Basics","https://www.youtube.com/watch?v=3z2RR6JaA7c"
11738,"Library Science","CATALOGING & CLASSIFICATION","","12th","English/Hindi","Module 3: Understanding Call Numbers","What is a call number","https://www.youtube.com/watch?v=moDcPc-wZEs"
11739,"Library Science","CATALOGING & CLASSIFICATION","","12th","English/Hindi","Module 3: Understanding Call Numbers","Understanding Call Numbers","https://www.youtube.com/watch?v=JbT1MOU3PQs"
11740,"Library Science","CATALOGING & CLASSIFICATION","","12th","English/Hindi","Module 3: Understanding Call Numbers","Location of books by call no","https://www.youtube.com/watch?v=7u_dpfGuM3o"
11741,"Library Science","CATALOGING & CLASSIFICATION","","12th","English/Hindi","Module 4: Library Classification Basics","Basic Terms of Library Classification","https://www.youtube.com/watch?v=OSPt32TLFgM"
11742,"Library Science","CATALOGING & CLASSIFICATION","","12th","English/Hindi","Module 4: Library Classification Basics","Basic classification","https://www.youtube.com/watch?v=22s6b-jk9Hs"
11743,"Library Science","CATALOGING & CLASSIFICATION","","12th","English/Hindi","Module 4: Library Classification Basics","Dewey Decimal Numbers Explained","https://www.youtube.com/watch?v=0tFYT1TIFFY"
11744,"Library Science","CATALOGING & CLASSIFICATION","","12th","English/Hindi","Module 5: Dewey Decimal System","Shelving Non Fiction Library Books","https://www.youtube.com/watch?v=l3WCZiVsDDY"
11745,"Library Science","CATALOGING & CLASSIFICATION","","12th","English/Hindi","Module 5: Dewey Decimal System","The Dewey Decimal System","https://www.youtube.com/watch?v=Y9795LBWLLA"
11746,"Library Science","CATALOGING & CLASSIFICATION","","12th","English/Hindi","Module 5: Dewey Decimal System","Nonfiction and the Dewey Decimal System","https://www.youtube.com/watch?v=HGog7LVRad4"
11747,"Library Science","CATALOGING & CLASSIFICATION","","12th","English/Hindi","Module 5: Dewey Decimal System","Dewey Decimal Classification: DDC","https://www.youtube.com/watch?v=WikO0FvIfrg"
11748,"Library Science","CATALOGING & CLASSIFICATION","","12th","English/Hindi","Module 6: Universal Decimal Classification","Universal Decimal Classification _LIS P02 M12c","https://www.youtube.com/watch?v=MOkcc-SEUco"
11749,"Library Science","CATALOGING & CLASSIFICATION","","12th","English/Hindi","Module 6: Universal Decimal Classification","SLIS 731 - Universal Decimal Classification","https://www.youtube.com/watch?v=kZQbSs5d8b4"
11750,"Library Science","CATALOGING & CLASSIFICATION","","12th","English/Hindi","Module 6: Universal Decimal Classification","Universal decimal classification :an Introduction","https://www.youtube.com/watch?v=frFtHGcss04"
11751,"Library Science","CATALOGING & CLASSIFICATION","","12th","English/Hindi","Module 6: Universal Decimal Classification","UDC Universal Decimal Classification","https://www.youtube.com/watch?v=ICmVsG5mxoQ"
