S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Fine Arts,graphic design music,11hrs 22min,12th,English/Hindi,Module 1: Summer Vibes,Childish Gambino - Feels Like Summer,https://www.youtube.com/watch?v=F1B9Fk_SgI0
2,Fine Arts,graphic design music,,12th,English/Hindi,Module 1: Summer Vibes,The Avalanches - Because I'm Me (Official Video),https://www.youtube.com/watch?v=eu0KsZ_MVBc
3,Fine Arts,graphic design music,,12th,English/Hindi,Module 1: Summer Vibes,Childish Gambino - Sober,https://www.youtube.com/watch?v=jx96Twg-Aew
4,Fine Arts,graphic design music,,12th,English/Hindi,Module 1: Summer Vibes,Unknown Mortal Orchestra - Hunnybee (Official Video),https://www.youtube.com/watch?v=IJrKlSkxRHA
5,Fine Arts,graphic design music,,12th,English/Hindi,Module 2: Feel Good Funk,Gorillaz - Feel Good Inc. (Official Video),https://www.youtube.com/watch?v=HyHNuVaZJ-k
6,Fine Arts,graphic design music,,12th,English/Hindi,Module 2: Feel Good Funk,A Tribe Called Quest - Electric Relaxation (Official HD Video),https://www.youtube.com/watch?v=WHRnvjCkTsw
7,Fine Arts,graphic design music,,12th,English/Hindi,Module 2: Feel Good Funk,A Tribe Called Quest - We The People.... (Official Video),https://www.youtube.com/watch?v=vO2Su3erRIA
8,Fine Arts,graphic design music,,12th,English/Hindi,Module 3: Lyrical Legends,Sa-Roc - NSFW (Not Safe For Weak rappers) [Official Video],https://www.youtube.com/watch?v=-8FQ24Cxyc4
9,Fine Arts,graphic design music,,12th,English/Hindi,Module 3: Lyrical Legends,Digable Planets - Rebirth of Slick (Cool Like Dat) (Official Music Video),https://www.youtube.com/watch?v=cM4kqL13jGM
10,Fine Arts,graphic design music,,12th,English/Hindi,Module 3: Lyrical Legends,Alphabet Aerobics,https://www.youtube.com/watch?v=zlynqOgBAUw
11,Fine Arts,graphic design music,,12th,English/Hindi,Module 4: Throwback Tracks,Mistadobalina - Del The Funkee Homosapien,https://www.youtube.com/watch?v=e29ZR1MNOUA
12,Fine Arts,graphic design music,,12th,English/Hindi,Module 4: Throwback Tracks,Childish Gambino - Summertime Magic (Audio),https://www.youtube.com/watch?v=diLp6hUqvVk
