S.No.,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
1,Information Technology,Business Intelligence,23hrs 1min,12th,English/Hindi,Module 1: Introduction to Business Intelligence,Business Intelligence Introduction,https://www.youtube.com/watch?v=pi52FfTQtRU
2,Information Technology,Business Intelligence,,12th,English/Hindi,Module 1: Introduction to Business Intelligence,Business Intelligence .Mathematical Modelling Using Excel/Solver Add-In,https://www.youtube.com/watch?v=RwKmLo_eR9s
3,Information Technology,Business Intelligence,,12th,English/Hindi,Module 1: Introduction to Business Intelligence,"Business Intelligence Architecture, Components of BI Architecture.",https://www.youtube.com/watch?v=GV7HkgMj1hk
4,Information Technology,Business Intelligence,,12th,English/Hindi,Module 1: Introduction to Business Intelligence,Business Intelligence Decision Support System. Components Phases and Limitations.,https://www.youtube.com/watch?v=LX3uGnyT-LA
5,Information Technology,Business Intelligence,,12th,English/Hindi,Module 2: Data Mining and Predictive Modeling,Types of Mathematical Models.,https://www.youtube.com/watch?v=A5xJdW7WQUQ
6,Information Technology,Business Intelligence,,12th,English/Hindi,Module 2: Data Mining and Predictive Modeling,"Classes of Models: Predictive, Pattern recognition, optimization and risk analysis models.",https://www.youtube.com/watch?v=gpBzVbnKhJc
7,Information Technology,Business Intelligence,,12th,English/Hindi,Module 2: Data Mining and Predictive Modeling,"Data Mining, Application of D.M, CRISP-D.M",https://www.youtube.com/watch?v=lg_Ce7nbzI8
8,Information Technology,Business Intelligence,,12th,English/Hindi,Module 2: Data Mining and Predictive Modeling,Classification & Regression.,https://www.youtube.com/watch?v=c4YOLFrhAgQ
9,Information Technology,Business Intelligence,,12th,English/Hindi,Module 3: Knowledge Management and AI,"Classification Algorithms- KNN, Decision Tree, Bayes Theorem",https://www.youtube.com/watch?v=aJw0i2wDoUo
10,Information Technology,Business Intelligence,,12th,English/Hindi,Module 3: Knowledge Management and AI,"Classification Algorithms.- Regression, Artificial Neural Network, SVM.",https://www.youtube.com/watch?v=SgdYV4uKL4A
11,Information Technology,Business Intelligence,,12th,English/Hindi,Module 3: Knowledge Management and AI,Clustering| k-means clustering.,https://www.youtube.com/watch?v=7MRLDU92hPU
12,Information Technology,Business Intelligence,,12th,English/Hindi,Module 3: Knowledge Management and AI,Hierarchical Clustering.,https://www.youtube.com/watch?v=iofJBkR7LGA
13,Information Technology,Business Intelligence,,12th,English/Hindi,Module 3: Knowledge Management and AI,"Marketing Models, Relational Marketing.",https://www.youtube.com/watch?v=6xYZMApayoE
14,Information Technology,Business Intelligence,,12th,English/Hindi,Module 3: Knowledge Management and AI,Supply Chain Management. | Revenue Management,https://www.youtube.com/watch?v=asKS1jNZg-E
15,Information Technology,Business Intelligence,,12th,English/Hindi,Module 3: Knowledge Management and AI,Knowledge Management Introduction| K.M activities,https://www.youtube.com/watch?v=Xr8hxoIBsQc
16,Information Technology,Business Intelligence,,12th,English/Hindi,Module 3: Knowledge Management and AI,Knowledge Management Process and Approaches.,https://www.youtube.com/watch?v=vRPqkKku-58
17,Information Technology,Business Intelligence,,12th,English/Hindi,Module 3: Knowledge Management and AI,Artificial Intelligence| Machine learning| Deep learning.| A.I vs Natural Intelligence in Hindi.,https://www.youtube.com/watch?v=4WttbXoYTIE
18,Information Technology,Business Intelligence,,12th,English/Hindi,Module 3: Knowledge Management and AI,Expert System in Artificial Intelligence.,https://www.youtube.com/watch?v=v-3RQJMvHus
19,Information Technology,Business Intelligence,,12th,English/Hindi,Module 3: Knowledge Management and AI,Knowledge Engineering.,https://www.youtube.com/watch?v=PULn1I6X80o
20,Information Technology,Business Intelligence,,12th,English/Hindi,Module 3: Knowledge Management and AI,Knowledge Engineering in First-Order Logic. Example: Electronic circuits.,https://www.youtube.com/watch?v=oocGZmWSXD8
21,Information Technology,Business Intelligence,,12th,English/Hindi,Module 3: Knowledge Management and AI,Business Intelligence IMP Questions,https://www.youtube.com/watch?v=pHbKdKOQWcc
