"Unnamed: 0","Sector","CourseName","Duration","Minimum Education","Language","Module","TopicName","URL"
4051,"Medicine","Learning Radiology Playlist","14hrs 5min","12th","English/Hindi","Module 1: Introduction to Radiology","LearningRadiology 01 (5 Radiographic Densities)","https://www.youtube.com/watch?v=-iCoSWvP2Zo"
4052,"Medicine","Learning Radiology Playlist","","12th","English/Hindi","Module 1: Introduction to Radiology","LearningRadiology 02 (Sihouette Signs)","https://www.youtube.com/watch?v=pP2JmqZMU14"
4053,"Medicine","Learning Radiology Playlist","","12th","English/Hindi","Module 1: Introduction to Radiology","LearningRadiology 03 (Orthogonal Views)","https://www.youtube.com/watch?v=PZZVRCC9j0s"
4054,"Medicine","Learning Radiology Playlist","","12th","English/Hindi","Module 1: Introduction to Radiology","LearningRadiology 04 (Pulmonary Imaging)","https://www.youtube.com/watch?v=KotGzplXONA"
4055,"Medicine","Learning Radiology Playlist","","12th","English/Hindi","Module 2: Chest Imaging","LearningRadiology 05 (Chest Imaging DDx II)","https://www.youtube.com/watch?v=90FC1bR6snY"
4056,"Medicine","Learning Radiology Playlist","","12th","English/Hindi","Module 2: Chest Imaging","LearningRadiology 06 (Salter-Harris Classification)","https://www.youtube.com/watch?v=Ban96uFZ-6A"
4057,"Medicine","Learning Radiology Playlist","","12th","English/Hindi","Module 2: Chest Imaging","LearningRadiology 07 (Cardiac Imaging DDx)","https://www.youtube.com/watch?v=Hr_jXbkA0j0"
4058,"Medicine","Learning Radiology Playlist","","12th","English/Hindi","Module 2: Chest Imaging","LearningRadiology 08 (MSK Lateral Neck)","https://www.youtube.com/watch?v=o4V9F3-nEfE"
4059,"Medicine","Learning Radiology Playlist","","12th","English/Hindi","Module 3: MSK Imaging I","LearningRadiology 09 (MSK Imaging DDx I)","https://www.youtube.com/watch?v=i_1WhhGowiI"
4060,"Medicine","Learning Radiology Playlist","","12th","English/Hindi","Module 3: MSK Imaging I","LearningRadiology 10 (MSK Imaging DDx II)","https://www.youtube.com/watch?v=c-E80JYwOJQ"
4061,"Medicine","Learning Radiology Playlist","","12th","English/Hindi","Module 3: MSK Imaging I","LearningRadiology 11 Cervical Fractures Subluxations","https://www.youtube.com/watch?v=6QZaMoSy4JQ"
